模型名称,计费类型,价格,倍率,分组
qwen3-omni-flash-2025-09-15, 按量付费 - Chat, 提示价格：$ 2.0000 / 1M tokens 补全价格：$ 20.0000 / 1M tokens, 提示倍率：1 补全倍率：10.0000,DefaultSVIP
tts-1, 按量付费 - Chat, 提示价格：$ 30.0000 / 1M tokens 补全价格：$ 30.0000 / 1M tokens, 提示倍率：15 补全倍率：1.0000,DefaultSVIP
claude-haiku-4-5-20251001-thinking, 按量付费 - Chat, 提示价格：$ 1.0000 / 1M tokens 补全价格：$ 5.0000 / 1M tokens, 提示倍率：0.5 补全倍率：5.0000,DefaultSVIP
gemini-2.5-pro-preview-06-05-nothinking, 按量付费 - Chat, 提示价格：$ 1.2500 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.625 补全倍率：8.0000,DefaultSVIP
gpt-5-chat-latest, 按量付费 - Chat, 提示价格：$ 1.2500 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.625 补全倍率：8.0000,DefaultSVIP
gpt-5.1-high, 按量付费 - Chat, 提示价格：$ 1.2500 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.625 补全倍率：8.0000,DefaultSVIP
gpt-image-1.5, 按量付费 - Chat, 提示价格：$ 5.0000 / 1M tokens 补全价格：$ 32.0000 / 1M tokens, 提示倍率：2.5 补全倍率：6.4000,DefaultSVIP
grok-4-1-fast-reasoning, 按量付费 - Chat, 提示价格：$ 0.2000 / 1M tokens 补全价格：$ 0.5000 / 1M tokens, 提示倍率：0.1 补全倍率：2.5000,DefaultSVIP
grok-4-1-fast-reasoning-latest, 按量付费 - Chat, 提示价格：$ 0.2000 / 1M tokens 补全价格：$ 0.5000 / 1M tokens, 提示倍率：0.1 补全倍率：2.5000,DefaultSVIP
doubao-seed-1-6-flash-250615, 按量付费 - Chat, 提示价格：$ 0.0300 / 1M tokens 补全价格：$ 0.3000 / 1M tokens, 提示倍率：0.015 补全倍率：10.0000,DefaultSVIP
grok-4-deepsearch, 按量付费 - Chat, 提示价格：$ 4.0000 / 1M tokens 补全价格：$ 20.0000 / 1M tokens, 提示倍率：2 补全倍率：5.0000,DefaultSVIP
o1-mini-2024-09-12, 按量付费 - Chat, 提示价格：$ 1.1000 / 1M tokens 补全价格：$ 4.4000 / 1M tokens, 提示倍率：0.55 补全倍率：4.0000,DefaultSVIP
o4-mini, 按量付费 - Chat, 提示价格：$ 1.1000 / 1M tokens 补全价格：$ 4.4000 / 1M tokens, 提示倍率：0.55 补全倍率：4.0000,DefaultSVIP
qwen-vl-ocr-latest, 按量付费 - Chat, 提示价格：$ 0.0440 / 1M tokens 补全价格：$ 0.0735 / 1M tokens, 提示倍率：0.022 补全倍率：1.6700,DefaultSVIP
qwen3-235b-a22b-instruct-2507, 按量付费 - Chat, 提示价格：$ 1.0000 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.5 补全倍率：10.0000,DefaultSVIPChinaOpenSource
qwen3-235b-a22b-thinking-2507, 按量付费 - Chat, 提示价格：$ 1.6000 / 1M tokens 补全价格：$ 12.8000 / 1M tokens, 提示倍率：0.8 补全倍率：8.0000,DefaultSVIPChinaOpenSource
claude-3-5-haiku-latest, 按量付费 - Chat, 提示价格：$ 0.8000 / 1M tokens 补全价格：$ 4.0000 / 1M tokens, 提示倍率：0.4 补全倍率：5.0000,DefaultSVIP
claude-opus-4-1-20250805-thinking, 按量付费 - Chat, 提示价格：$ 15.0000 / 1M tokens 补全价格：$ 75.0000 / 1M tokens, 提示倍率：7.5 补全倍率：5.0000,DefaultSVIP
gemini-2.5-pro-preview-05-06, 按量付费 - Chat, 提示价格：$ 1.2500 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.625 补全倍率：8.0000,DefaultSVIP
gpt-3.5-turbo-16k, 按量付费 - Chat, 提示价格：$ 3.0000 / 1M tokens 补全价格：$ 3.9000 / 1M tokens, 提示倍率：1.5 补全倍率：1.3000,DefaultSVIP
gpt-5.1-codex-max, 按量付费 - Chat, 提示价格：$ 1.2500 / 1M tokens 补全价格：$ 10.0000 / 1M tokens, 提示倍率：0.625 补全倍率：8.0000,DefaultSVIP
gpt-5.2-high, 按量付费 - Chat, 提示价格：$ 1.7500 / 1M tokens 补全价格：$ 14.0000 / 1M tokens, 提示倍率：0.875 补全倍率：8.0000,DefaultSVIP
moonshot-v1-8k, 按量付费 - Chat, 提示价格：$ 2.0000 / 1M tokens 补全价格：$ 2.0000 / 1M tokens, 提示倍率：1 补全倍率：1.0000,DefaultSVIP
claude-opus-4-20250514, 按量付费 - Chat, 提示价格：$ 15.0000 / 1M tokens 补全价格：$ 75.0000 / 1M tokens, 提示倍率：7.5 补全倍率：5.0000,DefaultSVIP
grok-4-fast-reasoning, 按量付费 - Chat, 提示价格：$ 0.2000 / 1M tokens 补全价格：$ 0.5000 / 1M tokens, 提示倍率：0.1 补全倍率：2.5000,DefaultSVIP
o1-pro, 按量付费 - Chat, 提示价格：$ 180.0000 / 1M tokens 补全价格：$ 720.0000 / 1M tokens, 提示倍率：90 补全倍率：4.0000,DefaultSVIP
qwen3-max-2025-09-23, 按量付费 - Chat, 提示价格：$ 0.4500 / 1M tokens 补全价格：$ 1.8000 / 1M tokens, 提示倍率：0.225 补全倍率：4.0000,DefaultSVIP
qwen3-max-preview, 按量付费 - Chat, 提示价格：$ 0.4500 / 1M tokens 补全价格：$ 1.8000 / 1M tokens, 提示倍率：0.225 补全倍率：4.0000,DefaultSVIP
