string_id,reason,tokenized_zh,last_output
1,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,
2,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者共分为13个星级，只有部分忍者可以突破到13星。,
3,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,
4,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,
5,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,
6,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,
7,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),技能分为主动和被动。[沉默]阻止主动技能释放,
8,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,
9,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,
10,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,
1,missing_translation_in_batch_output,忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,
2,missing_translation_in_batch_output,忍者共分为13个星级，只有部分忍者可以突破到13星。,
3,missing_translation_in_batch_output,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,
4,missing_translation_in_batch_output,忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,
5,missing_translation_in_batch_output,升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,
6,missing_translation_in_batch_output,消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,
7,missing_translation_in_batch_output,技能分为主动和被动。[沉默]阻止主动技能释放,
8,missing_translation_in_batch_output,忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,
9,missing_translation_in_batch_output,忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,
10,missing_translation_in_batch_output,阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,
11,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3,
12,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),每次挑战守卫木叶可选择1次增益buff，如果长时间不操作则系统自动选择,
1,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,
2,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者共分为13个星级，只有部分忍者可以突破到13星。,
3,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,
4,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,
5,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,
1,missing_translation_in_batch_output,忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,
2,missing_translation_in_batch_output,忍者共分为13个星级，只有部分忍者可以突破到13星。,
3,missing_translation_in_batch_output,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,
4,missing_translation_in_batch_output,忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,
5,missing_translation_in_batch_output,升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,
6,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,
7,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),技能分为主动和被动。[沉默]阻止主动技能释放,
8,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,
9,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,
10,translate_failed_after_retries: parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0) | parse: Response parse error: Expecting value: line 1 column 1 (char 0),阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,
6,missing_translation_in_batch_output,消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,
7,missing_translation_in_batch_output,技能分为主动和被动。[沉默]阻止主动技能释放,
8,missing_translation_in_batch_output,忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,
9,missing_translation_in_batch_output,忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,
10,missing_translation_in_batch_output,阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,
230,validation_failed_after_retries: cjk_remaining,【下忍】或以上,⟦下忍⟧ или выше
231,validation_failed_after_retries: cjk_remaining,【中忍】或以上,⟦中忍⟧ или выше
213127,validation_failed_after_retries: token_mismatch,熙晨归客满级解锁,Разблокируется при максимальном уровне «熙晨归客»
213130,validation_failed_after_retries: cjk_remaining,获得幻梦余熏解锁,Разблокировано после получения «幻梦余熏»
213131,validation_failed_after_retries: cjk_remaining,幻梦余熏满级解锁,Разблокируется при максимальном уровне «幻梦余熏»
302923,"validation_failed_after_retries: cjk_remaining | LLMError: Network error: ('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",⟦TAG_59⟧问题反馈请添加公众号⟦TAG_2⟧⟦TAG_60⟧【漫游次元手游】⟦TAG_8⟧,"⟦TAG_59⟧Для обратной связи, пожалуйста, добавьте официальный аккаунт⟦TAG_2⟧⟦TAG_60⟧【漫游次元手游】⟦TAG_8⟧"
2962,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,我会成为火影然后改变村子,Я стану Хокаге и изменю деревню
30239,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,扭蛋之家3,Дом гатя 3
203010,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,鬼灯水月,Хозуки Суигэцу
20009,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,海野伊鲁卡,Умино Ирука
53452,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,海野伊鲁卡,Умино Ирука
203037,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,海野伊鲁卡,Умино Ирука
54452,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,黑土,Куротсути
96011,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,辉夜·阳,Хуэйе·Ян
86011,repair_failed_after_retries:cjk_remaining | ValueError:validation_failed:cjk_remaining,辉夜·阴,Хуэйе·Инь
