string_id,source_zh
1,蹇嶈€呭崌绾с€佸崌鏄熷彲澶у箙搴︽彁楂樺繊鑰呭睘鎬ф垚闀匡紝鍗囩骇灞炴€у姞鎴愭彁楂樸€?
2,蹇嶈€呭叡鍒嗕负13涓槦绾э紝鍙湁閮ㄥ垎蹇嶈€呭彲浠ョ獊鐮村埌13鏄熴€?
3,闄よ閲忋€佹敾鍑汇€侀槻寰°€侀€熷害4澶у熀鏈睘鎬у锛岃繕鏈?6涓壒娈婂睘鎬с€?
4,蹇嶈€呭垵濮嬭川閲忎粠浣庡埌楂樹负钃濄€佺传銆佹锛屽垎鍒搴?-5鏄?
5,鍗囨槦鍙閮ㄥ垎蹇嶈€呮妧鑳界瓑绾у彲杈?绾э紝閫氳繃娼滆兘婵€鍙戝彲瑙ｉ攣鏇撮珮绛夌骇鐨勬妧鑳?
6,娑堣€楀繊鑰呰繘琛屽悎鎴愩€佺獊鐮寸瓑鎿嶄綔鏃讹紝浼氬皢涔嬪墠鍩瑰吇鎵€娑堣€楃殑璧勬簮灏嗚繑杩?
7,鎶€鑳藉垎涓轰富鍔ㄥ拰琚姩銆俒娌夐粯]闃绘涓诲姩鎶€鑳介噴鏀?
8,蹇嶈€呭崌鏄熸椂浼氭秷鑰楁湰浣撳繊鑰咃紝鎵€浠ュ湪娓告垙鍓嶆湡闇€灏介噺淇濈暀鏈綋
9,蹇嶈€呮妧鑳藉喎鍗村垎涓?鍥炲悎涓?鍥炲悎锛?鍥炲悎鍐峰嵈鐨勬妧鑳芥洿鍔犲己鍔?
10,闃靛鍏嬪埗浼氭瀬澶ф彁楂樺繊鑰呮垬鏂楀姏锛屽叿浣撹〃鐜颁负澧炲姞鍛戒腑鍜屼激瀹?
11,寮€濮嬭拷璁ㄥ彌蹇嶆椂浼氳嚜鍔ㄨ繘琛屾壂鑽★紝鎵崱鍏虫暟涓烘槰鏃ユ渶楂橀€氬叧鏁?3
12,姣忔鎸戞垬瀹堝崼鏈ㄥ彾鍙€夋嫨1娆″鐩奲uff锛屽鏋滈暱鏃堕棿涓嶆搷浣滃垯绯荤粺鑷姩閫夋嫨
13,浠欎汉璇曠偧姣?澶╅噸缃?娆★紝鎵€绱Н鐨勫娲诲竵閬撳叿涓嶆竻绌?
14,鏅撀疯浼愭垬闄ょ疮绉激瀹冲鍔卞拰鎺掑悕濂栧姳澶栵紝杩樻湁閿﹂菠濂栨娊鍙?
15,绮捐嫳鍙敜杩涜鎷涘嫙鑾峰緱鐨勭簿鑻卞彫鍞ょН鍒嗘槸绋冲畾鍏戞崲蹇冧华蹇嶈€呯殑閫斿緞涔嬩竴
16,楂樼骇鎷涘嫙姣忔鍗佽繛蹇呭嚭5鏄熷繊鑰咃紝骞舵湁姒傜巼鍑哄浣?鏄熷繊鑰?
17,VIP绛夌骇杈惧埌3浠ヤ笂鏃讹紝鍙秷鑰楀彫鍞よ幏寰楃殑绉垎鐩存帴鎶藉彇5鏄熷繊鑰?
18,蹇嶈€呰儗鍖呮牸瀛愪笂闄愬彲閫氳繃鎻愬崌VIP绛夌骇鎴栨秷鑰楅噾甯佹彁鍗?
19,姣忎竴鏈熺殑杞崲娲诲姩閮戒細鏈夋帓鍚嶅鍔憋紝鍖呭惈澶ч噺閲戝竵鍜岄珮绾ф帰瀹濆埜
20,鐜╁鍙秷鑰楅噾甯佽繘琛屾敼鍚嶏紝棣栨鏀瑰悕鍏嶈垂锛屼箣鍚庝粎闇€浣庨閲戝竵
21,鍙秷鑰楃粍缁囪础鐚崌绾у叚閬撲箣鍔涳紝鍏亾涔嬪姏鍙櫨鍒嗘瘮鎻愰珮蹇嶈€呭睘鎬?
22,甯冮樀涓悓鍚嶅繊鑰呮棤娉曞悓鏃朵笂闃碉紝鍗充娇鏄ソ鍙嬫敮鎻寸殑鍚屽悕蹇嶈€?
23,蹇嶈€呭湪璇搷浣滃崌鏄熷悗锛屽彲鍦ㄥ繊鑰呴噸鐢熶腑娑堣€椾竴瀹氶亾鍏峰叏棰濋€€鍥炶祫婧?
24,蹇嶈€呬笂闃靛悗锛屽彲鍚姩瀵瑰簲闃佃惀鐨勫睘鎬у骞咃紝涓哄繊鑰呮彁楂樼櫨鍒嗘瘮灞炴€?
25,鍦ㄥ繊浼犱腑鍙幏寰楀己鍔涘繊閬擄紝瑁呭鍚庡湪鎴樻枟涓寔缁负蹇嶈€呮彁楂樺睘鎬?
26,闄ょ珵鎶€鍦篜K澶栵紝姣忓懆涓ゆ鐨勫繊鑰呭鍐崇珵鐚滄槸鑾峰緱澹版湜鐨勭ǔ瀹氶€斿緞
27,蹇嶈€呭皬闃熺殑鑱屼笟缁勫悎鍗佸垎閲嶈锛屾渶濂借兘鏀诲嚮銆侀槻寰′笌娌荤枟涓夎€呭吋澶?
28,闅忕潃鍥炲悎鏁扮殑澧炲姞锛屼細寮€鍚喅鎴樻ā寮忥紝閫愭笎鎻愰珮鍏ㄤ綋蹇嶈€呬激瀹?
29,涓嶉渶瑕佺殑蹇嶈€呮渶濂戒笉瑕佸垎瑙ｏ紝鍙互鐢ㄤ綔涓诲姏蹇嶈€呯殑鍗囨槦鏉愭枡
30,鏈夋椂鍊欓潪涓绘祦闃靛浠ｈ〃鐨勫苟涓嶆槸涓嶅己锛岃€屾槸灏氭湭琚惌閰嶄笌寮€鍙?
40,澶╀笅澶у娍锛岄潪涔呭繀娆э紒
41,濡傛灉骞哥鏈夐鑹诧紝閭ｄ竴瀹氭槸閲戣壊
42,杩愭皵鐖嗘锛屾鐨囬檮浣擄紒
43,鎰熷彈涓€涓嬪ぉ閫変箣瀛愭鐨囩殑姘旀伅
50,鍒囧嬁鐩镐俊浠讳綍绗笁鏂圭閬擄紝璋ㄩ槻璇堥獥锛?
51,璇峰嬁鐩镐俊鑱婂ぉ涓€佸厬鎹㈢爜淇℃伅锛岃皑闃茶瘓楠椼€?
52,璀︽儠鑱婂ぉ涓彂鍏戞崲鐮佺殑璇堥獥妯″紡锛?
53,鍒囧嬁闅忔剰閫氳繃娓告垙澶栬亰澶╃敵璇凤紝涓嶇粰楠楀瓙鍙箻涔嬫満銆?
54,鍒囪闈炲畼鏂逛汉鍛樺姞鑱旂郴鏂瑰紡鐨勯兘鏄瘓楠楄涓猴紒
55,鐗㈣澶╀笂涓嶄細鎺夐楗硷紝涓嶈鐩镐俊闈炲畼鏂逛汉鍛橈紒
70,鎶ょ浘鍏嶄激
71,闄嶆敾闄嶇枟
72,娌荤枟閲嶇敓
73,鍓婇槻鐪熶激
74,缇や綋澧為€?
75,鍓嶆帓鎺у埗
76,鏀诲嚮鍣彇
77,娈嬭鏀跺壊
78,鍗曚綋椹辨暎
79,鐢熷懡鎭㈠
80,闊ф€ф彁鍗?
81,缇や綋鐏肩儳
82,鍘嬪埗杈撳嚭
83,鍗曚綋鎺у埗
84,缇や綋澧炴敾
85,鍗曚綋鎭㈠
86,鍗曚綋鍘嬪埗
87,鍓嶆帓鐮撮槻
88,鍙嶄激
89,鏅敾杩炲嚮
90,鎶€鑳借繛鍑?
91,鎶楃牬鐢?
92,鍚歌
93,鎶楀惛琛€
94,鎶楁毚浼?
55565,闃块
203091,闃块
54556,鑹?
104,涔濆枃鍢?
105,涓冨熬路閲嶆槑
203061,鑹?
107,鏃佺櫧
108,浜屽熬路鍙堟梾
