string_id,source_zh,module_tag,module_confidence,max_len_target,len_tier,source_locale,placeholder_flags,status,is_empty_source,is_long_text
BTN_0,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_1,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_2,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_3,领取奖励,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
UI_4,当前等级：40,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False
UI_5,金币：50,ui_label,0.95,10,S,zh-CN,count=0,ok,False,False
UI_6,经验值：60/30,ui_label,0.95,19,S,zh-CN,count=0,ok,False,False
UI_7,生命值：70%,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False
SKILL_8,释放火球术，对敌人造成80点火焰伤害，并附加燃烧效果。,skill_desc,0.95,57,M,zh-CN,count=0,ok,False,False
SKILL_9,召唤冰霜之刃，对范围内敌人造成90点冰冻伤害。,skill_desc,0.95,49,M,zh-CN,count=0,ok,False,False
SKILL_10,使用治疗术，恢复100点生命值。,skill_desc,0.95,33,M,zh-CN,count=0,ok,False,False
SKILL_11,提升攻击力110%，持续55秒。,skill_desc,0.95,33,M,zh-CN,count=0,ok,False,False
ITEM_12,生命药水：使用后恢复120点生命值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False
ITEM_13,魔法药水：使用后恢复130点魔法值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False
ITEM_14,传说武器：攻击力+140，暴击率+70%,item_desc,0.95,43,M,zh-CN,count=0,ok,False,False
DIALOG_15,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。,dialogue,0.95,86,M,zh-CN,count=0,ok,False,False
DIALOG_16,欢迎来到新手村！这里是所有冒险者的起点。,dialogue,0.95,43,M,zh-CN,count=0,ok,False,False
SYS_17,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False
SYS_18,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False
SYS_19,服务器维护中，请稍后再试,system_notice,0.95,25,M,zh-CN,count=0,ok,False,False
BTN_20,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_21,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_22,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_23,领取奖励,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
UI_24,当前等级：240,ui_label,0.95,16,S,zh-CN,count=0,ok,False,False
UI_25,金币：250,ui_label,0.95,12,S,zh-CN,count=0,ok,False,False
UI_26,经验值：260/130,ui_label,0.95,22,M,zh-CN,count=0,ok,False,False
UI_27,生命值：270%,ui_label,0.95,16,S,zh-CN,count=0,ok,False,False
SKILL_28,释放火球术，对敌人造成280点火焰伤害，并附加燃烧效果。,skill_desc,0.95,60,M,zh-CN,count=0,ok,False,False
SKILL_29,召唤冰霜之刃，对范围内敌人造成290点冰冻伤害。,skill_desc,0.95,51,M,zh-CN,count=0,ok,False,False
SKILL_30,使用治疗术，恢复300点生命值。,skill_desc,0.95,33,M,zh-CN,count=0,ok,False,False
SKILL_31,提升攻击力310%，持续155秒。,skill_desc,0.95,36,M,zh-CN,count=0,ok,False,False
ITEM_32,生命药水：使用后恢复320点生命值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False
ITEM_33,魔法药水：使用后恢复330点魔法值,item_desc,0.95,36,M,zh-CN,count=0,ok,False,False
ITEM_34,传说武器：攻击力+340，暴击率+170%,item_desc,0.95,44,M,zh-CN,count=0,ok,False,False
DIALOG_35,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。,dialogue,0.95,86,M,zh-CN,count=0,ok,False,False
DIALOG_36,欢迎来到新手村！这里是所有冒险者的起点。,dialogue,0.95,43,M,zh-CN,count=0,ok,False,False
SYS_37,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False
SYS_38,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False
SYS_39,服务器维护中，请稍后再试,system_notice,0.95,25,M,zh-CN,count=0,ok,False,False
BTN_40,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_41,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_42,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
BTN_43,领取奖励,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False
UI_44,当前等级：440,ui_label,0.95,16,S,zh-CN,count=0,ok,False,False
UI_45,金币：450,ui_label,0.95,12,S,zh-CN,count=0,ok,False,False
UI_46,经验值：460/230,ui_label,0.95,22,M,zh-CN,count=0,ok,False,False
UI_47,生命值：470%,ui_label,0.95,16,S,zh-CN,count=0,ok,False,False
SKILL_48,释放火球术，对敌人造成480点火焰伤害，并附加燃烧效果。,skill_desc,0.95,60,M,zh-CN,count=0,ok,False,False
SKILL_49,召唤冰霜之刃，对范围内敌人造成490点冰冻伤害。,skill_desc,0.95,51,M,zh-CN,count=0,ok,False,False
